Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Ring/LLC Clock [MHz]","System Agent Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Uncore Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","CPU Package [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","IA Offset [V]","GT (Slice) Offset [V]","CLR (CBo/LLC/Ring) Offset [V]","GT (Unslice) Offset [V]","Uncore/SA Offset [V]","CPU Package Power [W]","IA Cores Power [W]","Total DRAM Power [W]","Package C2 Residency [%]","Core #0 Thread 0 C0 Residency [%]","Core #0 Thread 1 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #1 Thread 1 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #2 Thread 1 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #3 Thread 1 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C7 Residency [%]","Core #1 C7 Residency [%]","Core #2 C7 Residency [%]","Core #3 C7 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","IA: PROCHOT [Yes/No]","IA: Thermal Event [Yes/No]","IA: DDR RAPL [Yes/No]","IA: PCS (PECI) [Yes/No]","IA: Residency State Regulation [Yes/No]","IA: Running Average Thermal Limit [Yes/No]","IA: VR Thermal Alert [Yes/No]","IA: VR TDC [Yes/No]","IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]","IA: Package-Level RAPL/PBM PL1 [Yes/No]","IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","IA: Max Turbo Limit [Yes/No]","IA: Turbo Attenuation (MCT) [Yes/No]","GT: Thermal Event [Yes/No]","GT: DDR RAPL [Yes/No]","GT: Residency State Regulation [Yes/No]","GT: Running Average Thermal Limit [Yes/No]","GT: VR Thermal Alert [Yes/No]","GT: VR TDC [Yes/No]","GT: Max VR Voltage, ICCmax, PL4 [Yes/No]","GT: Domain-Level PBM PLGT [Yes/No]","GT: Package-Level RAPL/PBM PL1 [Yes/No]","GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","GT: Inefficient Operation [Yes/No]","GT: Fuses limit [Yes/No]","RING: Residency State Regulation [Yes/No]","RING: VR Thermal Alert [Yes/No]","RING: VR TDC [Yes/No]","RING: Max VR Voltage, ICCmax, PL4 [Yes/No]","RING: Package-Level RAPL/PBM PL1 [Yes/No]","RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]","System1 [°C]","PCH [°C]","CPU [°C]","PCIEX16 [°C]","VRM MOS [°C]","EC_TEMP1/System2 [°C]","Vcore [V]","+3.3V [V]","+12V [V]","+5V [V]","VCCSA [V]","DDR [V]","3VSB [V]","VBAT [V]","AVCC3 [V]","CPU [RPM]","System 1 [RPM]","System 2 (VRM) [RPM]","System 3 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Temperature 2 [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Airflow Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Video Decode 0 Usage [%]","GPU Video Encode 0 Usage [%]","GPU Video Encode 1 Usage [%]","GPU Computing (Compute_0) Usage [%]","GPU Computing (Compute_1) Usage [%]","GPU VR Usage [%]","GPU Fan [%]","Performance Limit - Power [Yes/No]","Performance Limit - Thermal [Yes/No]","Performance Limit - Reliability Voltage [Yes/No]","Performance Limit - Max Operating Voltage [Yes/No]","Performance Limit - Utilization [Yes/No]","Performance Limit - SLI GPUBoost Sync [Yes/No]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
3.2.2019,18:27:2.703,4038,71185,5.3,4036,61458,6.1,0.0,1.274,1.254,1.254,1.254,4797.6,4797.6,4797.6,4797.6,100.0,4197.9,999.5,15.3,2.0,6.6,0.0,4.0,0.6,62.0,18.6,62.0,13.6,100.0,48,48,48,48,42,33,35,31,55,67,65,69,45,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,34,0.000,0.000,0.000,0.000,0.000,35.015,23.684,2.315,0.2,18.4,3.5,6.7,2.2,4.4,2.5,61.1,6.9,3.3,5.2,5.3,0.4,71.3,82.5,85.1,7.1,1199.4,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,53,28,35,29,1.248,3.384,12.168,5.100,1.068,1.212,3.408,3.024,3.072,1804,826,729,957,Yes,47,72,100.0,No,No,8867,5339,27,27,No,No,9707,6049,25,66.0,No,No,75032,0.0,0.0,0.0,0.000,0.001,28048,0,0.2,0.0,0.2,0.014,0.000,0,2.6,5.9,8.5,0.803,173.307,1438,26938,37,0.650,0,9.653,139.0,202.5,544.0,0.0,3.0,0.0,0.0,2.9,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,5.8,7.3,234,134,25,2.5,0,0,0.000,0.000,0,
3.2.2019,18:27:5.006,3988,71235,5.3,2738,62757,4.1,0.0,1.351,1.324,1.321,1.328,4800.0,4800.0,4800.0,4800.0,100.0,4200.0,1000.0,23.8,3.4,8.8,14.2,18.3,12.9,27.8,13.6,27.8,15.4,100.0,48,48,48,48,42,53,38,34,55,47,62,66,45,53,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,37,0.000,0.000,0.000,0.000,0.000,36.585,25.280,2.650,2.6,28.1,4.1,12.5,17.3,20.7,11.7,34.0,8.4,2.5,4.3,4.8,0.5,55.3,64.2,51.5,39.2,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,55,28,35,29,1.296,3.364,12.168,5.100,1.068,1.212,3.432,3.024,3.072,1829,814,732,1011,Yes,47,72,100.0,No,No,8868,5339,27,27,No,No,9707,6049,25,66.0,No,No,75032,0.0,0.1,0.1,0.000,0.040,28048,0,0.4,0.0,0.4,0.021,0.000,0,7.4,22.1,29.6,54.337,585.650,1558,28224,37,0.650,0,9.640,139.0,202.5,544.0,0.0,3.0,0.0,0.0,2.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,5.9,7.3,234,134,24,2.5,0,0,0.000,0.000,0,
3.2.2019,18:27:7.318,3988,71235,5.3,2753,62741,4.2,0.0,1.371,1.316,1.324,1.318,4797.6,4797.6,4797.6,4797.6,100.0,4197.9,999.5,8.7,0.6,2.0,1.3,1.3,31.0,60.1,1.3,60.1,13.3,100.0,48,48,48,48,42,33,34,36,34,67,66,64,66,50,36,No,No,No,No,No,No,No,No,No,No,No,No,No,No,47,47,36,0.000,0.000,0.000,0.000,0.000,35.890,24.598,2.398,0.1,11.3,1.9,4.1,1.0,3.6,32.1,56.2,2.3,0.7,0.2,0.1,0.1,82.3,89.9,61.5,11.5,1199.4,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,46,29,36,29,1.332,3.364,12.168,5.100,1.068,1.212,3.408,3.024,3.072,1819,807,734,1044,Yes,46,71,100.0,No,No,8868,5339,27,27,No,No,9707,6049,26,66.0,No,No,75032,0.0,0.0,0.0,0.000,0.001,28048,0,0.5,0.0,0.5,0.017,0.000,0,0.8,0.2,1.0,1.502,1.187,1561,28227,37,0.650,0,9.593,139.0,202.5,544.0,0.0,3.0,0.0,0.0,2.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,5.8,7.4,231,131,24,2.5,0,0,0.000,0.000,0,
3.2.2019,18:27:9.614,3970,71253,5.2,2742,62752,4.1,0.0,1.328,1.317,1.351,1.300,4800.0,4800.0,4800.0,4800.0,100.0,4200.0,1000.0,6.8,0.6,0.0,1.3,2.0,35.3,56.4,1.3,56.4,13.0,100.0,48,48,48,48,42,33,33,54,52,67,67,46,48,47,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48,44,36,0.000,0.000,0.000,0.000,0.000,34.775,23.492,2.340,0.1,9.8,0.7,2.3,2.7,3.5,32.8,54.7,2.3,0.2,0.3,0.3,0.0,87.0,93.5,61.7,16.0,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,46,29,36,29,1.296,3.364,12.168,5.100,1.068,1.224,3.408,3.024,3.072,1790,812,734,1004,Yes,46,71,100.0,No,No,8868,5339,27,27,No,No,9707,6049,25,66.0,No,No,75032,0.0,0.0,0.0,0.000,0.008,28048,0,0.0,0.0,0.0,0.000,0.000,0,0.7,0.1,0.9,1.400,1.169,1564,28229,37,0.650,0,9.835,139.0,202.5,544.0,0.0,3.0,0.0,0.0,2.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,6.0,7.4,231,131,24,2.5,0,0,0.000,0.000,0,
3.2.2019,18:27:11.895,3970,71253,5.2,2731,62764,4.1,0.0,1.370,1.335,1.329,1.338,4800.0,4800.0,4800.0,4800.0,100.0,4200.0,1000.0,10.2,0.0,0.0,0.0,1.3,29.9,57.8,0.0,57.8,12.4,100.0,48,48,48,48,42,33,34,32,45,67,66,68,55,47,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,43,36,0.000,0.000,0.000,0.000,0.000,35.046,23.749,2.338,0.0,10.1,0.4,2.7,1.0,3.0,28.0,61.3,1.7,0.4,0.1,0.1,0.0,86.6,94.5,67.1,4.3,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,48,29,36,29,1.296,3.384,12.168,5.100,1.068,1.212,3.408,3.024,3.072,1800,809,732,998,Yes,46,71,100.0,No,No,8868,5339,27,27,No,No,9707,6049,25,66.0,No,No,75032,0.0,0.0,0.0,0.000,0.000,28048,0,0.0,0.0,0.0,0.000,0.000,0,0.8,0.8,1.7,1.641,1.704,1568,28233,37,0.650,0,9.498,139.0,202.5,544.0,0.0,3.0,0.0,0.0,2.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,5.7,7.3,231,131,24,2.5,0,0,0.000,0.000,0,
3.2.2019,18:27:14.207,3978,71245,5.2,2796,62699,4.2,0.0,1.364,1.332,1.361,1.346,4800.0,4800.0,4800.0,4800.0,100.0,4200.0,1000.0,4.0,0.0,2.0,0.0,4.0,29.9,58.5,2.0,58.5,12.6,100.0,48,48,48,48,42,33,34,32,35,67,66,68,65,49,35,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48,48,35,0.000,0.000,0.000,0.000,0.000,35.179,23.896,2.374,0.1,7.0,1.3,3.8,1.3,5.6,28.7,58.8,2.4,0.4,1.0,3.6,0.0,88.9,91.6,59.4,1.5,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,46,29,36,29,1.296,3.384,12.168,5.100,1.068,1.212,3.408,3.024,3.072,1819,811,731,1011,Yes,45,71,100.0,No,No,8868,5339,27,27,No,No,9707,6049,25,66.0,No,No,75032,0.0,0.0,0.0,0.000,0.001,28048,0,0.0,0.0,0.0,0.000,0.000,0,1.4,1.3,2.7,2.299,9.000,1573,28253,37,0.650,0,9.209,139.0,202.5,544.0,0.0,3.0,0.0,0.0,2.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,5.6,7.3,231,131,24,2.5,0,0,0.000,0.000,0,
3.2.2019,18:27:16.505,4061,71162,5.3,2909,62585,4.4,0.0,1.331,1.345,1.325,1.300,4800.0,4800.0,4800.0,4800.0,100.0,4200.0,1000.0,25.1,1.3,12.2,4.7,12.9,21.0,53.7,6.1,53.7,17.1,100.0,48,48,48,48,42,38,37,33,36,62,63,67,64,54,38,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,53,36,0.000,0.000,0.000,0.000,0.000,43.339,32.058,2.536,0.2,25.3,3.6,16.9,6.5,14.9,22.5,49.3,13.0,2.0,2.6,3.8,1.0,38.2,39.5,35.7,8.2,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,49,29,37,29,1.344,3.364,12.168,5.070,1.068,1.212,3.408,3.024,3.072,1885,808,731,1051,Yes,45,71,100.0,No,No,8868,5339,27,27,No,No,9707,6049,25,66.0,No,No,75032,0.0,0.0,0.0,0.000,0.003,28048,0,0.2,0.0,0.2,0.024,0.000,0,60.5,0.8,61.3,53.073,7.946,1689,28270,37,0.650,0,9.732,139.0,202.5,544.0,1.0,4.0,0.0,0.0,2.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,5.7,7.1,231,131,24,2.5,0,0,0.000,0.000,0,
3.2.2019,18:27:18.785,4127,71095,5.4,2971,62524,4.5,0.0,1.296,1.227,1.357,1.338,4800.0,4800.0,4800.0,4800.0,100.0,4200.0,1000.0,34.0,2.0,10.2,12.2,7.4,34.2,37.4,22.4,37.4,20.0,100.0,48,48,48,48,42,39,46,41,48,61,54,59,52,53,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,51,51,38,0.000,0.000,0.000,0.000,0.000,46.996,35.714,2.660,0.1,35.9,5.8,18.0,11.9,12.6,34.9,32.4,28.1,4.4,3.5,4.0,1.5,26.8,28.1,26.7,12.7,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,51,29,37,29,1.308,3.344,12.168,5.070,1.068,1.224,3.408,3.024,3.072,1880,805,731,1049,Yes,45,71,100.0,No,No,8868,5339,27,27,No,No,9707,6049,25,66.0,No,No,75032,0.0,0.0,0.0,0.000,0.000,28048,0,0.1,0.0,0.1,0.021,0.000,0,58.8,1.7,60.5,111.786,16.294,1932,28306,37,0.650,0,9.194,139.0,202.5,544.0,0.0,3.0,0.0,0.0,2.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,5.6,7.2,232,133,24,2.5,0,0,0.000,0.000,0,
3.2.2019,18:27:21.097,4037,71186,5.3,2970,62525,4.5,0.0,1.362,1.348,1.317,1.339,4802.4,4802.4,4802.4,4802.4,100.0,4202.1,1000.5,23.1,6.1,20.4,20.4,2.7,34.4,32.6,19.0,34.4,19.8,100.0,48,48,48,48,42,34,53,50,33,66,47,50,67,58,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,45,36,0.000,0.000,0.000,0.000,0.000,44.917,33.625,2.592,0.6,27.3,6.4,22.8,18.3,8.2,38.2,30.5,19.0,4.8,3.9,2.2,3.3,53.7,48.4,48.1,36.8,1200.6,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,49,29,38,29,1.332,3.384,12.168,5.100,1.068,1.212,3.432,3.024,3.072,2020,803,733,1159,Yes,45,70,100.0,No,No,8868,5340,27,27,No,No,9707,6049,25,66.0,No,No,75032,0.0,1.5,1.5,0.000,0.008,28048,0,0.0,0.0,0.0,0.000,0.000,0,22.4,2.9,25.3,76.881,22.531,2102,28355,37,0.650,0,9.107,139.0,202.5,544.0,0.0,3.0,0.0,0.0,2.8,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,5.5,7.4,232,133,24,2.5,0,0,0.000,0.000,0,
3.2.2019,18:27:23.394,4042,71180,5.3,2959,62536,4.5,0.0,1.358,1.342,1.341,1.299,4800.0,4800.0,4800.0,4800.0,100.0,4200.0,1000.0,29.0,2.7,13.5,0.6,0.6,29.7,20.9,3.3,29.7,12.5,100.0,48,48,48,48,42,52,35,35,32,48,65,65,68,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,49,36,0.000,0.000,0.000,0.000,0.000,35.335,24.050,2.406,0.6,28.6,2.9,14.2,2.7,3.6,31.8,23.5,4.1,1.3,0.5,1.5,0.8,62.2,78.0,59.5,68.4,1200.0,12.00,16,16,16,39,421,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,32,34,46,29,38,29,1.284,3.384,12.168,5.100,1.068,1.212,3.408,3.024,3.072,1824,803,737,1051,Yes,44,70,100.0,No,No,8869,5340,27,27,No,No,9707,6049,25,66.0,No,No,75032,0.0,0.0,0.0,0.000,0.000,28048,0,0.0,0.0,0.0,0.000,0.000,0,3.7,1.5,5.1,3.773,13.250,2110,28385,37,0.650,0,13.339,139.0,202.5,544.0,0.0,3.0,0.0,0.0,2.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,No,No,Yes,No,8.8,7.7,232,133,25,2.5,0,0,0.000,0.000,0,
