Date,Time,VirtualMemoryCommited,VirtualMemoryAvailable,VirtualMemoryLoad,PhysicalMemoryUsed,PhysicalMemoryAvailable,PhysicalMemoryLoad,PageFileUsage,Core0VID,Core1VID,Core2VID,Core3VID,Core0Clock,Core1Clock,Core2Clock,Core3Clock,BusClock,Ring_LLCClock,SystemAgentClock,Core0Thread0Usage,Core1Thread0Usage,Core2Thread0Usage,Core3Thread0Usage,MaxCPU_ThreadUsage,TotalCPUUsage,OnDemandClockModulation,Core0Ratio,Core1Ratio,Core2Ratio,Core3Ratio,UncoreRatio,Core0,Core1,Core2,Core3,Core0DistancetoTjMAX,Core1DistancetoTjMAX,Core2DistancetoTjMAX,Core3DistancetoTjMAX,CPUPackage,CoreMax,Core0ThermalThrottling,Core1ThermalThrottling,Core2ThermalThrottling,Core3ThermalThrottling,Core0CriticalTemperature,Core1CriticalTemperature,Core2CriticalTemperature,Core3CriticalTemperature,Core0PowerLimitExceeded,Core1PowerLimitExceeded,Core2PowerLimitExceeded,Core3PowerLimitExceeded,Package_RingThermalThrottling,Package_RingCriticalTemperature,CPUPackage,CPUIACores,CPUGTCores(Graphics),EDRAM,IAOffset,GT(Slice)Offset,CLR(CBo_LLC_Ring)Offset,GT(Unslice)Offset,Uncore_SAOffset,CPUPackagePower,IACoresPower,TotalDRAMPower,PL1PowerLimit,PL2PowerLimit,CurrentcTDPLevel,PackageC2Residency,PackageC3Residency,PackageC6Residency,PackageC7Residency,Core0Thread0C0Residency,Core1Thread0C0Residency,Core2Thread0C0Residency,Core3Thread0C0Residency,Core0C3Residency,Core1C3Residency,Core2C3Residency,Core3C3Residency,Core0C7Residency,Core1C7Residency,Core2C7Residency,Core3C7Residency,MemoryClock,MemoryClockRatio,Tcas,Trcd,Trp,Tras,Trfc,CommandRate,IA:PROCHOT,IA:ThermalEvent,IA:DDRRAPL,IA:PCS(PECI),IA:ResidencyStateRegulation,IA:RunningAverageThermalLimit,IA:VRThermalAlert,IA:VRTDC,"IA:ElectricalDesignPoint_Other(ICCmax,PL4,SVID,DDRRAPL)",IA:PackageLevelRAPL_PBMPL1,"IA:PackageLevelRAPL_PBMPL2,PL3",IA:MaxTurboLimit,IA:TurboAttenuation(MCT),GT:ThermalEvent,GT:DDRRAPL,GT:ResidencyStateRegulation,GT:RunningAverageThermalLimit,GT:VRThermalAlert,GT:VRTDC,"GT:MaxVRVoltage,ICCmax,PL4",GT:DomainLevelPBMPLGT,GT:PackageLevelRAPL_PBMPL1,"GT:PackageLevelRAPL_PBMPL2,PL3",GT:InefficientOperation,GT:Fuseslimit,ResidencyStateRegulation,VRThermalAlert,VRTDC,"MaxVRVoltage,ICCmax,PL4",PackageLevelRAPL_PBMPL1,"PackageLevelRAPL_PBMPL2,PL3",CPU,Fan2,PCHTemperature,DIMM_0Temperature,DIMM_1Temperature,DIMM_2Temperature,DIMM_3Temperature,DriveTemperature,DriveRemainingLife,DriveFailure,DriveWarning,TotalHostWrites,TotalHostReads,ReadActivity,WriteActivity,TotalActivity,ReadRate,WriteRate,ReadTotal,WriteTotal,GPUTemperature,GPUCoreVoltage,GPUClock,GPUMemoryClock,GPUVideoClock,GPUCoreLoad,GPUMemoryControllerLoad,GPUVideoEngineLoad,GPUBusLoad,GPUMemoryUsage,GPUD3DUsage,GPUVideoDecode0Usage,GPUVideoEncode0Usage,GPUComputing(Compute_0)Usage,GPUComputing(Compute_1)Usage,GPUVRUsage,PerformanceLimitPower,PerformanceLimitThermal,PerformanceLimitReliabilityVoltage,PerformanceLimitMaxOperatingVoltage,PerformanceLimitUtilization,PerformanceLimitSLIGPUBoostSync,GPUMemoryAllocated,GPUD3DMemoryDedicated,GPUD3DMemoryDynamic,PCIeLinkSpeed,BatteryVoltage,RemainingCapacity,ChargeLevel,WearLevel,TotalDL,TotalUP,CurrentDLrate,CurrentUPrate,TotalDL,TotalUP,CurrentDLrate,CurrentUPrate,TotalErrors,,
29.1.2019,13:07.8,11937,63246,15.8,8863,56592,13.5,0,1.26,1.305,1.301,1.239,3691,3591.2,3691,3391.7,99.8,3691,798,5.9,12.6,6.6,11.1,12.6,9.1,100,37,36,37,34,37,43,43,41,45,57,57,59,55,44,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,45,44,45,14,0,0,0,0,0,7.897,6.315,1.922,45,56.25,0,13.3,1,0,46.1,9.1,13.5,9,13.5,0.5,0.5,0.6,0.4,84.7,77.9,85.9,81.3,1064.1,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2534,2508,40.5,36.8,36,39,37.5,29,100,No,No,4347,1974,0.4,0.6,1,0.005,0.147,4871,2915,41,1.106,1110.6,1252.8,999.8,0,4,0,0,54.9,0.8,0,0,0.7,0,0,No,No,No,No,Yes,No,2247,2227,122,8,12.743,65.972,100,0,0,0,0,0,380,30,1.17,0.652,0,,
29.1.2019,13:09.9,11996,63187,15.9,8874,56581,13.5,0,1.162,1.164,1.167,1.169,3392.5,3392.5,3392.5,3392.5,99.8,3392.5,798.2,20.8,22.3,20.1,24.6,24.6,22,100,34,34,34,34,34,69,72,71,74,31,28,29,26,74,74,No,No,No,No,No,No,No,No,No,No,No,No,No,No,73,73,54,37,0,0,0,0,0,12.158,10.004,1.986,45,56.25,0,10,1.8,0,41.1,24.1,25.1,24.4,28,1.3,1.4,0.6,0.8,67.8,67.6,70,64,1064.3,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2508,2508,40.5,37,36,39,37.5,29,100,No,No,4347,1974,0.7,1,1.7,0.438,1.615,4872,2918,42,1.106,1110.6,1252.8,999.8,4,5,0,0,55.6,2,0,0,3.4,0,0,No,No,No,No,Yes,No,2276,2256,128,8,12.743,65.972,100,0,0,0,0,0,380,30,7.325,3.863,0,,
29.1.2019,13:11.9,12218,62964,16.2,8981,56474,13.7,0,1.265,1.245,1.221,1.171,3591.2,3391.7,3591.2,3391.7,99.8,3591.2,798,42.1,51.8,46.6,39.8,51.8,45.1,100,36,34,36,34,36,60,56,56,69,40,44,44,31,63,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,66,66,52,37,0,0,0,0,0,26.731,21.907,1.896,45,56.25,0,0.2,0.3,0,2.3,42.5,49,47.6,41.7,6.7,0.5,6.4,4.7,31.5,30.4,16.6,26.9,1064.1,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2508,2508,40.5,37,36,39,37.5,29,100,No,No,4347,1974,0.7,1.4,2.1,0.146,0.41,4872,2919,42,1.106,1110.6,1252.8,999.8,2,4,0,1,55.6,1.2,0,0,0.8,0,0,No,No,No,No,Yes,No,2278,2258,127,8,12.743,65.972,100,0,0,0,0,0,380,30,6.419,21.369,0,,
29.1.2019,13:14.0,12299,62884,16.3,9090,56365,13.8,0,1.179,1.273,1.262,1.174,3391.7,3391.7,3591.2,3391.7,99.8,3391.7,798,62.1,59.8,64.3,72.7,72.7,64.7,100,34,34,36,34,34,69,61,58,72,31,39,42,28,73,72,No,No,No,No,No,No,No,No,No,No,No,No,No,No,71,71,56,37,0,0,0,0,0,34.872,29.535,1.94,45,56.25,0,0,0,0,0,58.7,60.8,60.6,68.9,0.1,0.3,0,0,11.8,13,17.5,3.2,1064.1,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2534,2508,40.5,37,36,39,37.5,29,100,No,No,4347,1974,0.4,0.8,1.1,0.007,0.323,4872,2920,42,1.106,1110.6,1252.8,999.8,2,5,0,1,55.8,2.6,0,0,1.6,0,0,No,No,No,No,Yes,No,2285,2265,131,8,12.743,65.972,100,0,0,0,0,0,380,30,19.939,14.037,0,,
29.1.2019,13:16.1,12383,62800,16.4,9251,56203,14.1,0,1.172,1.176,1.173,1.167,3390.9,3390.9,3390.9,3390.9,99.7,3390.9,797.8,94,91.1,95.5,95.5,95.5,94,100,34,34,34,34,34,78,74,72,76,22,26,28,24,78,78,No,No,No,No,No,No,No,No,No,No,No,No,No,No,79,79,59,38,0,0,0,0,0,41.217,35.611,2.074,45,56.25,0,0,0,0,0,93,92.1,93.4,95.8,0,0,0,0,0.9,0.9,0.1,0,1063.8,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2534,2508,40.5,37,36,39,37.8,29,100,No,No,4347,1974,0.5,6.4,6.9,0.023,3.949,4872,2927,43,1.106,1110.6,1252.8,999.8,1,4,0,0,55.7,3,0,0,3.8,0,0,No,No,No,No,Yes,No,2280,2259,130,8,12.743,65.972,100,0,0,0,0,0,380,30,1.2,3.22,0,,
29.1.2019,13:18.2,12443,62740,16.5,9305,56150,14.2,0,1.167,1.167,1.174,1.166,3391.7,3391.7,3391.7,3391.7,99.8,3391.7,798,87.8,80.3,86.3,90.1,90.1,86.1,100,34,34,34,34,34,78,76,76,80,22,24,24,20,78,80,No,No,No,No,No,No,No,No,No,No,No,No,No,No,79,79,61,39,0,0,0,0,0,39.452,33.943,1.999,45,56.25,0,0,0,0,0,84.5,79.4,82.6,88.9,0,0.2,0.2,0,4.1,4.5,3.7,0,1064.1,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2508,2508,40.5,37,36,39,37.8,29,100,No,No,4347,1974,0.4,2.4,2.8,0.034,3.217,4872,2934,43,1.106,1110.6,1252.8,999.8,4,6,0,1,55.7,2,0,0,1.7,0,0,No,No,No,No,Yes,No,2279,2259,127,8,12.743,65.972,100,0,0,0,0,0,380,30,0.875,0.782,0,,
29.1.2019,13:20.4,12501,62682,16.6,9346,56109,14.2,0,1.172,1.173,1.209,1.182,3391.7,3391.7,3391.7,3391.7,99.8,3391.7,798,96.3,92.7,93.4,93.4,96.3,93.9,100,34,34,34,34,34,79,79,70,80,21,21,30,20,79,80,No,No,No,No,No,No,No,No,No,No,No,No,No,No,79,79,61,40,0,0,0,0,0,41.505,35.762,2.151,45,56.25,0,0,0,0,0,94,94.4,94,93.7,0,0,0,0,0.7,0.2,1.7,1.7,1064.1,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2560,7680,41,37,36.3,39,37.8,29,100,No,No,4347,1974,0,5.6,5.6,0,6.056,4872,2946,44,1.106,1110.6,1252.8,999.8,4,6,0,1,56.1,2.7,0,0,2.3,0,0,No,No,No,No,Yes,No,2296,2276,135,8,12.743,65.972,100,0,0,0,0,0,380,30,246.667,8.053,0,,
29.1.2019,13:22.4,12617,62566,16.7,9415,56039,14.3,0,1.176,1.185,1.174,1.164,3392.5,3392.5,3392.5,3392.5,99.8,3392.5,798.2,72.5,70.3,76.2,78.5,78.5,74.4,100,34,34,34,34,34,70,70,76,77,30,30,24,23,70,77,No,No,No,No,No,No,No,No,No,No,No,No,No,No,78,78,59,41,0,0,0,0,0,37.192,31.842,2.092,45,56.25,0,0,0,0,0,76.4,74.3,75.3,80.8,0.6,0,0.5,0,7.6,12.2,12,1.7,1064.3,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2731,7680,40.5,37,36.3,39,37.8,29,100,No,No,4347,1974,0,2.6,2.6,0,2.352,4872,2951,44,1.106,1110.6,1252.8,999.8,1,4,0,0,56.1,1.9,0,0,1.6,0,0,No,No,No,No,Yes,No,2297,2277,135,8,12.743,65.972,100,0,0,0,0,0,380,30,1.222,0.54,0,,
29.1.2019,13:24.5,12620,62562,16.7,9418,56036,14.3,0,1.209,1.204,1.265,1.31,3391.7,3391.7,3591.2,3591.2,99.8,3391.7,798,55.6,37.5,52.6,50.3,55.6,49,100,34,34,36,36,34,69,57,68,62,31,43,32,38,69,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,68,68,58,41,0,0,0,0,0,31.419,26.246,1.878,45,56.25,0,0,0,0,0,49.7,46.7,57.1,55.5,0.5,0,0,0,33.6,32.7,13,18.6,1064.1,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2926,7680,40.5,37,36.3,39,37.8,29,100,No,No,4347,1974,0.6,1.4,2,0.014,3.612,4872,2958,44,1.106,1110.6,1252.8,999.8,1,4,0,0,56.1,1,0,0,0.8,0,0,No,No,No,No,Yes,No,2297,2277,135,8,12.743,65.972,100,0,0,0,0,0,380,30,6.762,3.462,0,,
29.1.2019,13:26.6,12584,62598,16.7,9389,56065,14.3,0,1.197,1.195,1.197,1.222,3390.9,3390.9,3390.9,3390.9,99.7,3390.9,797.8,68.1,53.7,65.1,77.2,77.2,66,100,34,34,34,34,34,70,61,59,62,30,39,41,38,74,70,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60,60,58,40,0,0,0,0,0,37.979,32.648,1.94,45,56.25,0,0,0,0,0,61.5,60.4,69.5,76.8,0.3,0.2,0,0,21.3,19.2,6.7,3.8,1063.8,10.67,15,15,15,35,374,2,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3111,7680,40.5,37,36.3,39.3,37.8,29,100,No,No,4347,1974,0,2.2,2.2,0.031,3.314,4872,2965,45,1.106,1110.6,1252.8,999.8,1,4,0,0,56.1,1.2,0,0,0.7,0,0,No,No,No,No,Yes,No,2299,2279,135,8,12.743,65.972,100,0,0,0,0,0,380,30,1.75,0.971,0,,
